,act,act_rel,act_type,chembl_id,dude_id,dude_smiles,name,rdkit_smiles,rdkit_smiles_template,score,subset,uniprot_id,unit
0,4,=,Ki,CHEMBL178616,fa7,COc1cc(ccc1OCc2ccccc2)[C@H](C(=O)N[C@@H](c3ccccc3)C(=O)O)Nc4ccc(cc4)C(=N)N,303041,[H][C@@](NC(=O)[C@]([H])(Nc1ccc(C(=N)N)cc1)c1ccc(OCc2ccccc2)c(OC)c1)(C(=O)O)c1ccccc1,COc1cc([C@@H](Nc2ccc(C(=N)N)cc2)C(=O)N[C@H](C(=O)O)c2ccccc2)ccc1OCc1ccccc1,-61.52,actives,P08709,nM
1,350,=,Ki,CHEMBL179983,fa7,COc1ccc(cc1OC)C(C(=O)NCc2ccccc2)Nc3ccc(cc3)C(=N)N,303013,COc1ccc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)cc1OC,COc1ccc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)cc1OC,-60.37,actives,P08709,nM
2,130,=,Ki,CHEMBL180857,fa7,CCOc1cc(ccc1OCc2ccccc2)C(C(=O)NCc3ccccc3)Nc4ccc(cc4)C(=N)N,302968,CCOc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,CCOc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,-59.70,actives,P08709,nM
3,190,=,Ki,CHEMBL122151,fa7,CC(c1ccc(cc1)Cc2ccccc2)NC(=O)CNC(=O)Nc3ccc(cc3)C(=N)N,202644,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(Cc2ccccc2)cc1,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(Cc2ccccc2)cc1,-59.64,actives,P08709,nM
4,4,=,Ki,CHEMBL178616,fa7,COc1cc(ccc1OCc2ccccc2)[C@H](C(=O)N[C@@H](c3ccccc3)C(=O)O)Nc4ccc(cc4)C(=N)N,303041,[H][C@@](NC(=O)[C@@]([H])(Nc1ccc(C(=N)N)cc1)c1ccc(OCc2ccccc2)c(OC)c1)(C(=O)O)c1ccccc1,COc1cc([C@@H](Nc2ccc(C(=N)N)cc2)C(=O)N[C@H](C(=O)O)c2ccccc2)ccc1OCc1ccccc1,-59.15,actives,P08709,nM
5,133,=,Ki,CHEMBL380813,fa7,COc1ccc(cc1OC)CCN(Cc2ccc3ccc(cc3c2)C(=N)N)C(=O)c4cccc5c4cccc5,325932,COc1ccc(CCN(Cc2ccc3ccc(C(=N)N)cc3c2)C(=O)c2cccc3ccccc23)cc1OC,COc1ccc(CCN(Cc2ccc3ccc(C(=N)N)cc3c2)C(=O)c2cccc3ccccc23)cc1OC,-59.00,actives,P08709,nM
6,54,=,Ki,CHEMBL206232,fa7,Cc1cccc(c1)NC(=O)Cc2cc(cc(c2O)c3[nH]c4ccc(cc4n3)C(=N)N)C(CC(=O)O)C(=O)O,341927,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(CC(=O)Nc3cccc(C)c3)c2O)nc2cc(C(=N)N)ccc21,Cc1cccc(NC(=O)Cc2cc(C(CC(=O)O)C(=O)O)cc(-c3nc4cc(C(=N)N)ccc4[nH]3)c2O)c1,-58.97,actives,P08709,nM
7,2.6,=,Ki,CHEMBL209946,fa7,CC(C)(c1cc(c(c(c1)c2cc-3c([nH]ccc3n2)N)O)c4cccc(c4)CNC(=O)Nc5c(cccc5F)F)C(=O)O,357463,[H]n1ccc2nc(-c3cc(C(C)(C)C(=O)O)cc(-c4cccc(CNC(=O)Nc5c(F)cccc5F)c4)c3O)cc-2c1N,CC(C)(C(=O)O)c1cc(-c2cccc(CNC(=O)Nc3c(F)cccc3F)c2)c(O)c(-c2cc3c(N)[nH]ccc-3n2)c1,-57.86,actives,P08709,nM
8,1,=,Ki,CHEMBL206387,fa7,c1cc(c(cc1CNC(=O)N)c2cc(cc(c2O)c3[nH]c4ccc(cc4n3)C(=N)N)C(CC(=O)O)C(=O)O)O,344041,[H]n1c(-c2cc(C(CC(=O)O)C(=O)O)cc(-c3cc(CNC(N)=O)ccc3O)c2O)nc2cc(C(=N)N)ccc21,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cc(CNC(N)=O)ccc4O)c3O)nc2c1,-57.62,actives,P08709,nM
9,207,=,Ki,CHEMBL195238,fa7,c1ccc(cc1)CCCN(Cc2ccc3ccc(cc3c2)C(=N)N)C(=O)c4cccc5c4cccc5,326281,N=C(N)c1ccc2ccc(CN(CCCc3ccccc3)C(=O)c3cccc4ccccc34)cc2c1,N=C(N)c1ccc2ccc(CN(CCCc3ccccc3)C(=O)c3cccc4ccccc34)cc2c1,-57.54,actives,P08709,nM
